economy_id,country_code,gdp_per_capita,gdp,imports,exports,gdp_growth
1,AF,551.9,20514,8370,1038,-1.7
2,AL,5223.8,15059,5908,2720,4.1
3,DZ,4114.7,173757,45140,34571,1.4
4,AD,42051.6,3238,1538,124,1.6
5,AO,3437.3,105902,21340,50822,-1.2
6,AG,16727,1611,568,37,7.4
7,AR,11687.6,518475,49125,65114,-2.5
8,AM,4212.1,12433,5053,2612,5.2
9,AU,58392.7,1453871,221481,266377,2
10,AT,51230.3,455508,176596,171532,2.4
11,AF,551.9,20514,8370,1038,-1.7
12,AL,5223.8,15059,5908,2720,4.1
13,DZ,4114.7,173757,45140,34571,1.4
14,AD,42051.6,3238,1538,124,1.6
15,AO,3437.3,105902,21340,50822,-1.2
16,AG,16727,1611,568,37,7.4
17,AR,11687.6,518475,49125,65114,-2.5
18,AM,4212.1,12433,5053,2612,5.2
19,AU,58392.7,1453871,221481,266377,2
20,AT,51230.3,455508,176596,171532,2.4
21,AZ,4717.7,46939,13649,19636,1.4
22,BS,32218.1,12424,4087,494,1.6
23,BH,24133.5,37876,18680,14355,2.5
24,BD,1670.8,269628,66060,34186,7.9
25,BB,17745.9,5087,1618,462,-0.4
26,BY,6311.7,59662,39317,32764,3
27,BE,47293,543026,426489,445214,1.5
28,BZ,4884.7,1871,986,245,2.1
29,BJ,906.5,10412,3967,1706,6.5
30,BT,3523.8,2658,1049,659,5.8
31,BO,3548.6,40288,9783,8988,4.2
32,BA,5951.4,19782,11159,6578,2.6
33,BW,8258.2,18615,6559,5238,4.5
34,BR,8920.7,1868613,177348,225383,1.1
35,BN,31627.2,13567,5103,7039,0.1
36,BG,9387.8,66199,37902,33638,3.1
37,BF,820.2,16200,5193,2927,6.8
38,BI,294,3285,792,155,0.1
39,CV,3635.4,1977,941,76,5.1
40,KH,1512.1,24572,21413,14276,7.5
41,CM,1534.5,38694,3262,1750,4.1
42,CA,46192.4,1712562,453234,446148,1.9
43,CF,480.7,2243,89,324,4.3
44,TD,735.7,11387,319,613,2.4
45,CL,15923.4,298231,69591,69681,4
46,CN,9531.9,13608152,2070150,2491820,6.6
47,CO,6649.6,330228,52696,39489,2.7
48,KM,1400.5,1166,201,49,3
49,CG,2702.6,14173,2242,5576,1
50,CD,560.8,47146,5159,3477,5.8
51,CR,12026.5,60126,16106,11449,2.7
52,HR,14674,60991,28004,17063,2.7
53,CU,8821.8,100023,7498,828,2.2
54,CY,28967.6,24963,9219,3528,4.1
55,CZ,22992.1,245226,178552,198852,3
56,DK,61833.7,355675,97196,109942,2.4
57,DJ,3048.6,2923,1344,143,5.6
58,DM,7691.3,551,304,18,2.3
59,DO,7650.1,81299,20599,11117,7
60,TL,2035.5,2581,536,154,2.8
61,EC,6344.9,108398,22425,22245,1.4
62,EG,2537.5,249751,78658,30633,5.3
63,SV,4058.2,26057,12018,5943,2.5
