lifespan_id,country_code,life_expectancy_male,life_expectancy_female,homicide_rate,infant_mortality,fertility
1,AF,62.8,65.8,6.7,51.7,4.6
2,AL,76.7,80.1,2.3,8,1.6
3,DZ,75.4,77.8,1.4,21.2,3
4,AD,,,0,,1.2
5,AO,57.8,63.4,4.8,61.5,5.6
6,AG,75.7,77.9,11.1,5.2,2
7,AR,73,79.8,5.3,10.2,2.3
8,AM,71.1,78.3,1.7,10.8,1.8
9,AU,81.2,85.2,0.9,3.1,1.8
10,AT,78.9,83.8,1,3.2,1.5
11,AF,62.8,65.8,6.7,51.7,4.6
12,AL,76.7,80.1,2.3,8,1.6
13,DZ,75.4,77.8,1.4,21.2,3
14,AD,,,0,,1.2
15,AO,57.8,63.4,4.8,61.5,5.6
16,AG,75.7,77.9,11.1,5.2,2
17,AR,73,79.8,5.3,10.2,2.3
18,AM,71.1,78.3,1.7,10.8,1.8
19,AU,81.2,85.2,0.9,3.1,1.8
20,AT,78.9,83.8,1,3.2,1.5
21,AZ,70.3,75.3,2.2,20.8,2.1
22,BS,71.5,75.9,32,5.9,1.8
23,BH,76.2,78.2,0.5,6,2
24,BD,70.5,74.1,2.4,26.8,2.1
25,BB,77.6,80.4,9.8,10,1.6
26,BY,69.3,79.3,2.4,3,1.7
27,BE,79,83.7,1.7,2.8,1.7
28,BZ,71.4,77.6,37.8,12.8,2.3
29,BJ,59.8,62.8,1.1,61.1,4.9
30,BT,71,71.6,1.2,24.1,2
31,BO,68.3,74,6.2,29.7,2.8
32,BA,74.6,79.6,1.2,6,1.3
33,BW,66,71.9,15.2,30.2,2.9
34,BR,71.9,79.3,27.4,13,1.7
35,BN,74.5,76.9,0.5,7.9,1.8
36,BG,71.3,78.5,1.3,6.3,1.6
37,BF,60.1,61.6,1.3,54.2,5.2
38,BI,59.2,62.8,6.1,42.4,5.4
39,CV,69.2,75.9,6.8,16.9,2.3
40,KH,67.2,71.5,1.8,23.7,2.5
41,CM,57.5,60,1.4,61.2,4.6
42,CA,80.2,84.2,1.8,4.5,1.5
43,CF,50.5,54.9,20.1,81.9,4.8
44,TD,52.4,55.2,,74.5,5.8
45,CL,77.4,82.3,4.4,6.7,1.6
46,CN,74.5,79,0.5,9.9,1.7
47,CO,74.2,79.8,25.3,12.6,1.8
48,KM,62.3,65.8,,53.1,4.2
49,CG,62.7,65.6,,35.3,4.4
50,CD,58.7,61.7,,64.9,6
51,CR,77.4,82.7,11.3,7.3,1.8
52,HR,75,81.4,0.6,4,1.4
53,CU,76.7,80.7,5,4.5,1.6
54,CY,78.6,82.8,1.3,3.5,1.3
55,CZ,76.5,81.8,0.6,2.3,1.6
56,DK,78.7,82.7,1,3.1,1.8
57,DJ,64.6,68.7,,33.4,2.8
58,DM,73.8,78.2,26.6,,
59,DO,70.7,77.1,10,25.9,2.4
60,TL,67.2,71.3,4.1,37.3,4.1
61,EC,74,79.6,5.8,13.6,2.4
62,EG,69.5,74.1,2.6,15.6,3.3
63,SV,68.1,77.5,52,14.6,2.1
64,GQ,57.3,59.4,,66.1,4.6
65,ER,63.6,68,,34.7,4.1
66,EE,74,82.5,2.1,2,1.6
67,SZ,55.2,63.9,11.6,41.4,3
68,ET,64.1,67.9,8.8,37,4.3
69,FJ,65.6,69.1,2.3,20.3,2.8
70,FI,78.8,84.5,1.6,1.7,1.5
71,FR,79.4,85.4,1.2,3,1.9
72,GA,64,68.2,,35.3,4
73,GM,60.2,63,,44.8,5.2
74,GE,69.1,77.9,2.2,9.4,2.1
75,DE,78.7,83.6,0.9,3.2,1.6
76,GH,62.6,64.7,2.1,35.6,3.9
77,GR,79.5,84.5,0.9,2.8,1.3
78,GD,70.1,75,10.8,15,2.1
79,GT,71,76.8,22.5,20.7,2.9
80,GN,60.3,61.5,,51.6,4.7
81,GW,55.8,59.7,1.1,57.1,4.5
82,GY,66.7,72.9,14.2,26.8,2.5
83,HT,61.4,65.7,6.7,54.3,3
84,HN,72.7,77.3,38.9,15,2.5
85,HU,73,80.1,2.5,4.1,1.5
86,IS,81.2,84.3,0.9,1.3,1.8
87,IN,68.1,70.5,3.1,32,2.2
88,ID,69.3,73.6,0.4,18.9,2.3
89,IR,75.3,77.6,2.5,12.8,2.2
90,IQ,68.3,72.4,10.1,24.1,3.7
91,IE,80.4,83.7,0.9,2.7,1.8
92,IL,81,84.3,1.5,2.7,3
93,IT,81,85.4,0.6,2.6,1.3
94,CI,56.1,58.6,,60.4,4.7
95,JM,72.8,75.9,43.9,11.8,2
96,JP,81.3,87.5,0.3,1.8,1.4
97,JO,72.7,76.1,1.4,14.6,2.8
98,KZ,68.8,77.4,5.1,7.7,2.8
99,KE,63.8,68.5,4.9,36.3,3.5
100,KI,63.9,72,7.5,43,3.6
101,KP,68.3,75.4,,13.9,1.9
102,KR,79.6,85.7,0.6,2.1,1.1
103,KW,74.6,76.4,1.8,7.1,2.1
